YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W07,AT,7388778.0,207840,0,3194,0,10789,26930,2886,21,0,0,0,AT,ALL,COM,8978929
2021-W35,AT,7388778.0,28800,0,235,0,1633,20,0,0,0,0,0,AT,ALL,AZ,8932664
2021-W43,AT,7388778.0,170400,0,63,0,142,16,1,0,0,0,0,AT,ALL,AZ,8932664
2021-W49,AT,7388778.0,300000,50000,10,0,34,38,2,0,0,0,0,AT,ALL,AZ,8932664
2021-W48,AT,7388778.0,193200,0,2605,0,2749,69994,118,10,0,0,0,AT,ALL,MOD,8932664
2022-W49,AT,7388778.0,20000,0,1,0,1,5,15,1,0,0,0,AT,ALL,NVXD,8978929
2022-W13,AT,7388778.0,259200,0,44,0,75,487,242,2,0,0,0,AT,ALL,MOD,8978929
2021-W41,AT,7388778.0,136890,0,20348,0,29033,61746,91,2,0,0,0,AT,ALL,COM,8932664
2021-W22,AT,7388778.0,244800,0,2763,0,66078,17,0,0,0,0,0,AT,ALL,AZ,8932664
2021-W26,AT,7388778.0,68400,0,15495,0,45463,35,0,0,0,0,0,AT,ALL,MOD,8932664
2022-W37,AT,7388778.0,754560,0,47,0,48,629,9264,173,0,0,0,AT,ALL,COMBA.1,8978929
2022-W14,AT,7388778.0,117600,0,41,0,40,441,234,6,0,0,0,AT,ALL,MOD,8978929
2021-W34,AT,7388778.0,105600,0,966,0,2933,194,1,0,0,0,0,AT,ALL,MOD,8932664
2021-W20,AT,7388778.0,33600,0,21247,0,57167,20,0,0,0,0,0,AT,ALL,AZ,8932664
2021-W20,AT,7388778.0,58800,0,47152,0,21710,6,1,0,0,0,0,AT,ALL,MOD,8932664
2021-W17,AT,7388778.0,12000,0,319,0,0,0,0,0,0,0,0,AT,ALL,JANSS,8932664
2021-W51,AT,7388778.0,362300,0,1458,0,1794,22520,116,3,0,0,0,AT,ALL,MOD,8932664
2021-W32,AT,7388778.0,312390,0,20789,0,108015,472,10,0,0,0,0,AT,ALL,COM,8932664
2023-W02,AT,7388778.0,331000,0,0,0,0,0,8,6,0,0,0,AT,ALL,SGSK,8978929
2022-W14,AT,7388778.0,772200,0,794,0,1660,11612,3850,16,0,0,0,AT,ALL,COM,8978929
2022-W15,AT,7388778.0,833850,0,578,0,1256,9753,3806,7,0,0,0,AT,ALL,COM,8978929
2021-W09,AT,7388778.0,67200,0,55314,0,15,1,0,0,0,0,0,AT,ALL,AZ,8932664
2021-W07,AT,7388778.0,80730,0,26823,0,39608,8,0,0,0,0,0,AT,ALL,COM,8932664
2021-W50,AT,7388778.0,27000,0,3412,0,3486,54358,139,7,0,0,0,AT,ALL,MOD,8932664
2021-W19,AT,7388778.0,58800,0,35933,0,14854,4,0,0,0,0,0,AT,ALL,MOD,8932664
